var_name,Max_RH_pct,Rel_Hum_pct,Mean_RH_pct,ref_date
PRD000135H04,93,59,75,2025-02-13
PRD000136H04,97,84,90,
PRD000137H04,93,81,91,
PRD000138H04,96,71,81,
PRD000139H04,97,87,93,
PRD000140H04,87,68,75,
PRD000141H04,75,49,64,
PRD000142H04,80,51,68,
PRD000143H04,76,42,60,
PRD000144H04,76,45,62,
PRD000145H04,79,49,65,
PRD000146H04,81,34,57,
PRD000147H04,84,54,73,
PRD000148H04,90,58,74,
PRD000149H04,87,54,74,
PRD000150H04,90,47,68,
PRD000151H04,100,58,79,
PRD000152H04,93,52,78,
PRD000153H04,93,52,76,
PRD000154H04,90,36,63,
PRD000155H04,81,39,58,
PRD000156H04,70,36,53,
PRD000157H04,81,34,50,
PRD000158H04,96,63,81,
PRD000159H04,90,62,78,
PRD000160H04,84,40,65,
PRD000161H04,81,32,57,
PRD000162H04,70,28,51,
PRD000163H04,74,33,50,
PRD000164H04,94,74,87,
PRD000165H04,94,67,80,
PRD000166H04,90,56,75,
PRD000167H04,76,62,69,
PRD000168H04,85,48,69,
PRD000169H04,93,53,76,
PRD000170H04,84,61,76,
PRD000171H04,87,55,71,
PRD000172H04,84,38,62,
PRD000173H04,79,38,58,
PRD000174H04,72,40,54,
PRD000175H04,70,37,53,
PRD000176H04,71,41,55,
PRD000177H04,100,61,79,
PRD000178H04,94,79,89,
PRD000179H04,94,76,84,
PRD000180H04,90,53,73,
PRD000181H04,79,45,63,
PRD000182H04,87,35,57,
PRD000183H04,90,41,63,
PRD000184H04,78,49,61,
PRD000185H04,74,47,57,
PRD000186H04,97,42,58,
PRD000187H04,100,82,93,
PRD000188H04,100,84,94,
PRD000189H04,97,81,91,
PRD000190H04,100,75,88,
PRD000191H04,96,46,74,
PRD000192H04,97,79,89,
PRD000193H04,97,67,84,
PRD000194H04,96,62,83,
PRD000195H04,94,46,69,
PRD000196H04,94,57,77,
PRD000197H04,94,65,82,
PRD000198H04,94,60,79,
PRD000199H04,82,35,60,
PRD000200H04,81,40,57,
PRD000201H04,71,35,50,
PRD000202H04,94,43,64,
PRD000203H04,94,74,85,
PRD000204H04,96,69,84,
PRD000205H04,94,74,82,
PRD000206H04,88,58,75,
PRD000207H04,84,64,72,
PRD000208H04,71,40,60,
PRD000209H04,100,42,67,
PRD000210H04,100,62,79,
PRD000211H04,87,59,71,
PRD000212H04,94,67,83,
PRD000213H04,97,46,74,
PRD000214H04,97,79,89,
PRD000215H04,97,59,86,
PRD000216H04,96,46,70,
PRD000217H04,100,74,87,
PRD000218H04,100,79,90,
PRD000219H04,100,61,84,
PRD000220H04,96,51,79,
PRD000221H04,100,72,89,
PRD000222H04,96,74,87,
PRD000223H04,94,69,80,
PRD000224H04,87,47,69,
PRD000225H04,87,41,56,
PRD000226H04,68,42,53,
PRD000227H04,100,61,88,
PRD000228H04,97,71,82,
PRD000229H04,73,31,49,
PRD000230H04,97,37,63,
PRD000231H04,89,60,72,
PRD000232H04,66,26,45,
PRD000233H04,93,39,54,
PRD000234H04,94,65,81,
PRD000235H04,91,57,75,
PRD000236H04,91,50,70,
PRD000237H04,87,62,75,
PRD000238H04,87,58,75,
PRD000239H04,84,66,74,
PRD000240H04,93,62,77,
PRD000241H04,90,41,62,
PRD000242H04,82,28,55,
PRD000243H04,93,69,79,
PRD000244H04,100,64,76,
PRD000245H04,97,54,70,
PRD000246H04,78,57,66,
PRD000247H04,76,39,53,
PRD000248H04,81,33,59,
PRD000249H04,76,34,47,
PRD000250H04,93,37,57,
PRD000251H04,100,67,84,
PRD000252H04,97,74,86,
PRD000253H04,96,60,81,
PRD000254H04,91,49,70,
PRD000255H04,87,53,68,
PRD000256H04,70,31,45,
PRD000257H04,56,27,37,
PRD000258H04,90,37,64,
PRD000259H04,93,50,68,
PRD000260H04,100,39,61,
PRD000261H04,100,79,94,
PRD000262H04,100,72,89,
PRD000263H04,97,45,65,
PRD000264H04,96,30,64,
PRD000265H04,90,64,82,
PRD000266H04,90,66,77,
PRD000267H04,97,71,83,
PRD000268H04,93,66,82,
PRD000269H04,93,56,78,
PRD000270H04,93,59,76,
PRD000271H04,90,53,70,
PRD000272H04,96,73,83,
PRD000273H04,97,81,91,
PRD000274H04,93,73,83,
PRD000275H04,90,65,80,
PRD000276H04,89,64,75,
PRD000277H04,93,44,71,
PRD000278H04,89,72,81,
PRD000279H04,81,45,59,
PRD000280H04,97,34,74,
PRD000281H04,100,37,62,
PRD000282H04,100,78,90,
PRD000283H04,97,80,90,
PRD000284H04,90,58,74,
PRD000285H04,86,67,77,
PRD000287H04,92,61,81,
PRD000288H04,96,71,84,
PRD000318H04,86,39,53,
PRD000319H04,90,25,49,
PRD000320H04,60,30,41,
PRD000321H04,100,76,90,
PRD000322H04,96,69,84,
PRD000323H04,85,50,67,
PRD000324H04,64,35,48,
PRD000325H04,61,27,42,
PRD000326H04,100,64,88,
PRD000327H04,67,37,52,
PRD000328H04,43,25,34,
PRD000329H04,80,38,59,
PRD000330H04,73,32,48,
PRD000331H04,48,29,40,
PRD000332H04,86,27,52,
PRD000333H04,93,55,75,
PRD000334H04,83,42,62,
PRD000335H04,93,42,74,
PRD000336H04,93,41,66,
PRD000337H04,61,26,40,
PRD000338H04,62,20,37,
PRD000339H04,97,49,68,
PRD000340H04,100,76,86,
PRD000341H04,79,41,66,
PRD000342H04,100,68,81,
PRD000343H04,100,45,88,
PRD000344H04,100,32,82,
PRD000345H04,97,75,86,
PRD000346H04,100,50,76,
PRD000347H04,100,70,89,
PRD000348H04,79,42,56,
PRD000349H04,48,29,38,
PRD000350H04,100,49,93,
PRD000351H04,100,71,89,
PRD000352H04,93,63,77,
PRD000353H04,73,35,54,
PRD000354H04,86,29,50,
PRD000355H04,96,77,84,
PRD000356H04,97,70,79,
PRD000357H04,75,57,67,
PRD000358H04,69,38,50,
PRD000359H04,67,30,45,
PRD000360H04,69,45,56,
PRD000361H04,96,42,65,
PRD000362H04,76,31,46,
PRD000363H04,78,42,61,
PRD000364H04,64,40,47,
PRD000365H04,100,55,78,
PRD000366H04,77,55,67,
PRD000367H04,90,50,60,
PRD000368H04,97,66,82,
PRD000369H04,96,71,85,
PRD000370H04,89,44,71,
PRD000371H04,86,37,63,
PRD000372H04,66,41,50,
PRD000373H04,61,32,45,
PRD000374H04,67,35,53,
PRD000375H04,70,40,55,
PRD000376H04,97,65,85,
PRD000377H04,96,71,83,
PRD000378H04,86,68,76,
PRD000379H04,85,59,68,
PRD000380H04,97,64,77,
PRD000381H04,100,86,94,
PRD000382H04,100,71,87,
PRD000383H04,100,89,97,
PRD000384H04,100,89,96,
PRD000385H04,100,76,91,
PRD000386H04,79,56,68,
PRD000387H04,65,48,57,
PRD000388H04,62,42,51,
PRD000389H04,60,48,55,
PRD000390H04,89,56,72,
PRD000391H04,61,46,52,
PRD000392H04,65,42,53,
PRD000393H04,92,60,83,
