stid,latitude,longitude
76904399999,14.794339,-92.370025
76903099999,14.9166667,-92.25
76855099999,15.6833333,-96.4833333
76848599999,15.775317,-96.262572
76855699999,15.876861,-97.089117
76848099999,16.25,-92.1333333
76843099999,16.56182,-93.02608
76805099999,16.75,-99.75
76845099999,16.75,-92.6333333
76805699999,16.756892,-99.753586
76775599999,17,-96.7333333
76775099999,17.05,-96.7166666
76762099999,17.55,-99.5
78551011624,17.69965,-64.81249
76743099999,17.9833333,-92.9333333
76743399999,17.9833333,-92.8166666
76738399999,18.103419,-94.580681
76741099999,18.1833333,-94.5
78535011630,18.2552,-65.6411
78543011640,18.33626,-64.97994
78526011641,18.43261,-66.01065
78526500494,18.45677,-66.09847
76727099999,18.7,-99.1666666
76726099999,18.835082,-99.262158
76737099999,18.85,-97.1
76654099999,19.05,-104.3166666
91293099999,19.1,-155.75
76653499999,19.144778,-104.558631
76691399999,19.145931,-96.187267
76692099999,19.15,-96.1166666
76685099999,19.158144,-98.371447
76658099999,19.277011,-103.577397
76675099999,19.2833333,-99.6833333
76683099999,19.3166666,-98.25
76675399999,19.337072,-99.566008
76654699999,19.396692,-102.039056
76680099999,19.4,-99.1833333
76679399999,19.436303,-99.072097
99999921514,19.5354,-155.576
76687099999,19.55,-96.9166666
99999921515,19.645,-155.0827
76665099999,19.7,-101.1833333
99819199999,19.7166666,-155.05
76656099999,19.7166666,-103.4666666
91285021504,19.71909,-155.04897
91197521510,19.73782,-156.04795
91197721508,19.76,-155.55361
76665599999,19.849944,-101.0255
76662099999,19.9833333,-102.3166666
99717399999,20.037,-155.829
76634099999,20.0833333,-98.3666666
76632099999,20.1333333,-98.75
76613399999,20.5218,-103.311167
76648099999,20.522403,-86.925644
76612799999,20.602671,-97.460839
76750199999,20.641294,-88.446219
76612099999,20.6666666,-103.3833333
76601399999,20.680083,-105.254167
76647099999,20.6833333,-88.2
91190522524,20.7895,-156.9485
91190022516,20.88871,-156.43453
99738499999,20.9,-156.47
76644099999,20.936981,-89.657672
76640099999,20.95,-97.4
76577399999,20.9833333,-101.4833333
76577099999,21,-101.2833333
76595099999,21.036528,-86.877083
91186022534,21.15448,-157.09612
99400799999,21.3,-157.87
76593099999,21.3,-89.65
91178022551,21.30555,-158.06582
91182022521,21.32402,-157.93946
76573099999,21.35,-101.9166666
76556099999,21.419453,-104.842581
99819399999,21.4333333,-157.7833333
91176022519,21.45045,-157.76794
91170022508,21.48722,-158.02806
76571099999,21.705461,-102.317869
99819599999,21.95,-159.35
91165022536,21.98048,-159.33863
91162022501,22.03386,-159.78313
76548099999,22.2,-97.85
76549399999,22.29645,-97.865931
76525099999,22.7833333,-102.5666666
76525599999,22.897112,-102.68689
76750399999,22.94845,-109.938733
76405699999,23.15185,-109.721044
76459399999,23.161356,-106.266072
76458099999,23.2,-106.4166666
76491599999,23.704139,-98.956611
76491099999,23.742372,-99.169994
76499099999,23.7666666,-98.2
76423099999,24.05,-104.6
76405599999,24.072694,-110.362475
76423599999,24.124194,-104.528014
76405099999,24.1666666,-110.3
99457099999,24.456,-81.877
99734899999,24.55,-81.8
72201012836,24.55706,-81.75539
72201512850,24.58333,-81.68333
99445099999,24.628,-81.109
99735699999,24.711,-81.107
72201612896,24.72624,-81.0477
99462099999,24.844,-80.864
99829499999,24.9166666,-80.75
99829199999,24.9833333,-80.8333333
99827599999,25.027,-80.681
99828599999,25.05,-80.9
99829999999,25.0833333,-80.7333333
99830099999,25.087,-80.519
99829399999,25.1,-80.95
99828399999,25.1666666,-80.8
99828899999,25.1666666,-80.6333333
99827999999,25.1833333,-80.4833333
99827699999,25.1833333,-80.4333333
99829799999,25.2166666,-80.65
99829599999,25.2166666,-80.5333333
99828799999,25.2166666,-80.4333333
99849599999,25.23,-80.939
99829299999,25.2333333,-80.45
99828499999,25.25,-80.45
99849499999,25.284,-80.894
99849399999,25.297,-81.013
76390099999,25.3666666,-101.0166666
99830299999,25.376,-81.029
99829699999,25.4166666,-80.9666666
99827799999,25.4166666,-80.95
72202612826,25.48333,-80.38333
99827499999,25.4833333,-80.9833333
99828999999,25.55,-81.1833333
99830699999,25.619,-81.044
72202912888,25.64226,-80.43467
99827899999,25.7,-81.1833333
99830799999,25.708,-81.248
99735599999,25.731,-80.162
76393099999,25.7333333,-100.3
76399399999,25.769894,-97.525311
76394399999,25.778489,-100.106878
72202012839,25.78805,-80.31694
76394099999,25.865572,-100.237239
99999992826,25.8996,-81.3183
72202412882,25.91017,-80.28283
72250012919,25.91459,-97.42314
72104199999,25.995028,-81.672528
72203792809,25.99956,-80.24119
76350399999,26.008908,-98.228513
99800899999,26.05,-81.701
99736999999,26.061,-97.215
99848399999,26.077,-97.177
74783012849,26.07875,-80.16223
72203812897,26.15498,-81.77514
72250812957,26.15966,-97.33781
72215912980,26.1775,-97.97306
72250612959,26.17912,-98.2445
72203912885,26.19905,-80.17764
72250512904,26.2303,-97.65565
72204992805,26.24636,-80.11105
72202212803,26.37833,-80.1075
72027612983,26.44194,-98.12944
99999912987,26.5258,-98.0633
72210812894,26.53805,-81.75674
72210612835,26.58495,-81.86146
99405099999,26.613,-80.034
99734699999,26.65,-81.87
72203012844,26.6851,-80.09918
99480099999,26.8,-97.47
72203412812,26.91847,-81.99391
72095400456,26.93333,-94.68333
72058400181,26.967,-99.25
99422099999,27.07,-82.45
72211800482,27.07161,-82.44033
99999992827,27.1526,-81.3689
72218992815,27.18167,-80.22083
72066500243,27.2,-92.2
72092500312,27.2,-90.033
72026912982,27.20667,-98.12111
72226100360,27.267,-80.85
99471099999,27.3,-97.42
72233812994,27.34944,-98.73694
72074500272,27.35,-94.633
76253099999,27.392639,-109.833111
72211512871,27.40146,-82.55863
76286399999,27.443918,-99.57046
74904599999,27.456402,-81.3424
99818399999,27.48,-97.322
76258099999,27.4833333,-109.916666
72210312895,27.49816,-80.37626
72251612928,27.50898,-97.80408
72252012907,27.53333,-99.46667
99784899999,27.55,-92.49
72091600453,27.63,-90.45
99770199999,27.63,-82.57
99823699999,27.6333333,-97.2333333
74796099999,27.65,-81.33
74793012843,27.6553,-80.41425
99821399999,27.661,-82.594
72251512926,27.68786,-97.29158
72251712932,27.74131,-98.02507
99735399999,27.761,-82.627
72210492806,27.76847,-82.62568
72251012924,27.77335,-97.51302
72031612984,27.77861,-97.69056
72200812995,27.81194,-97.08861
99848299999,27.812,-97.39
99411099999,27.826,-97.051
72091300303,27.833,-91.983
99818499999,27.8333333,-97.0666666
99770599999,27.85,-82.55
74788012810,27.85,-82.51667
99495199999,27.862,-80.445
72251812974,27.89469,-98.04252
72211612873,27.91255,-82.68555
72037492825,27.91556,-82.44917
72236900365,27.917,-97.2
99824499999,27.9333333,-82.4333333
99826999999,27.9333333,-82.4333333
76256099999,27.95,-110.7666666
72212312809,27.95,-81.78333
72211012842,27.96331,-82.54
76255599999,27.968983,-110.925169
99734599999,27.978,-82.832
72211912883,28,-82.05
72037392824,28.00028,-82.16417
72202192816,28.01389,-82.34528
99822699999,28.0166666,-97.05
74793112876,28.06137,-81.75684
72252412972,28.08366,-97.04669
72204012838,28.09969,-80.6356
99400899999,28.12,-82.8
72035299999,28.17,-89.22
72074200270,28.209,-100.019
72104200486,28.22813,-82.15592
74795012867,28.23333,-80.6
72201192813,28.28972,-81.43694
99999923906,28.3045,-96.823
72039100127,28.35,-97.717
99818599999,28.4,-96.7166666
72205012815,28.41822,-81.32413
99735499999,28.42,-80.58
99479099999,28.45,-96.4
72252612947,28.45854,-99.22275
72201412818,28.47388,-82.45374
74794012868,28.48333,-80.56667
72072900435,28.5,-95.716
72204612898,28.51667,-80.8
72205312841,28.54653,-81.33544
99999992821,28.6159,-80.6929
74794612886,28.61667,-80.68333
76243099999,28.627394,-100.535211
76225099999,28.6333333,-106.0833333
99848799999,28.64,-96.595
72220912986,28.65417,-96.68139
76225399999,28.702875,-105.964567
72255512935,28.7248,-96.25353
72205712854,28.77951,-81.24356
72473700377,28.817,-82.317
72221312819,28.82143,-81.80963
72255012912,28.86245,-96.9301
72065500235,28.867,-82.567
99847399999,28.885,-90.024
99401099999,28.905,-89.428
99770399999,28.92,-89.4
72039500130,28.95,-98.517
72027312981,28.97306,-95.86333
72236192808,29.05417,-80.94833
72090400299,29.067,-81.283
72230899999,29.1,-90.2
72252712976,29.11536,-95.46323
72071700442,29.11666,-89.55
72205512861,29.16667,-82.23333
74787012834,29.17351,-81.07185
99848699999,29.178,-89.258
72220212985,29.21139,-99.74361
99497799999,29.265,-89.958
72235112953,29.26611,-96.0075
72242012923,29.27036,-94.86421
72057999999,29.277956,-103.687258
72234192822,29.29583,-81.1125
99736499999,29.3,-94.78
72252312970,29.33896,-98.47198
99999922016,29.3483,-103.2093
99772999999,29.35,-94.72
72253312962,29.36013,-99.17423
72261522001,29.36667,-100.78333
72261022010,29.3784,-100.92704
72253512909,29.38333,-98.58333
99482099999,29.408,-84.858
72204112993,29.44472,-90.26111
99821799999,29.45,-91.3333333
72067200485,29.46738,-81.20633
99736199999,29.48,-94.92
72063700223,29.5,-95.477
99818299999,29.5166666,-94.5
72242712975,29.51924,-95.2423
99999900477,29.5291,-97.4643
72253612911,29.5325,-98.2623
72253012921,29.54429,-98.48395
99828299999,29.55,-92.3
72240312968,29.559027,-91.525054
72240612927,29.56639,-90.66028
72243612906,29.61667,-95.16667
72254312977,29.61971,-95.65748
72212012833,29.63333,-83.10528
72104800471,29.63421,-104.36149
72244012918,29.64586,-95.28212
99800099999,29.65,-81.2166666
99843899999,29.668,-91.237
99426099999,29.67,-94.05
99737099999,29.68,-94.98
99849099999,29.689,-93.842
74756012816,29.6917,-82.27603
72241612971,29.70887,-98.04585
72232912936,29.71667,-91.33333
72059400188,29.717,-95.383
99848199999,29.726,-95.266
72220012832,29.72681,-85.02481
99404599999,29.73,-84.98
99733799999,29.768,-93.343
99736099999,29.77,-90.42
99799299999,29.7833333,-84.8833333
72229499999,29.7996806,-92.803536
72061700208,29.8,-95.9
72231612958,29.81667,-90.01667
74904800415,29.84475,-82.04752
99441099999,29.857,-81.264
99822599999,29.8666666,-93.9333333
99821899999,29.8666666,-89.6666666
72253912979,29.89083,-97.86444
A0000812978,29.90778,-96.95
72236323098,29.94667,-100.17333
72241012917,29.95205,-94.02616
72221292814,29.95917,-81.33972
72058700184,29.976,-92.084
72253712961,29.98333,-99.08333
72243012960,29.98438,-95.36072
72231012916,29.99755,-90.27772
99819499999,30.0166666,-90.1166666
72231453915,30.02916,-91.88456
72096400338,30.033,-85.533
72231553917,30.04934,-90.02899
99408699999,30.058,-84.291
74775013846,30.06667,-85.58333
72242953910,30.06801,-95.55628
72362953998,30.06917,-93.80361
72092600313,30.071,-94.216
99999953960,30.0918,-91.8731
72240003937,30.12551,-93.22771
72224800359,30.131,-93.376
99819999999,30.15,-85.6666666
72211353979,30.16917,-96.98
72104600460,30.17272,-90.94061
72254013904,30.18311,-97.67989
72240513976,30.19859,-91.98957
72240413941,30.21028,-93.14333
99826499999,30.2166666,-93.2166666
99823899999,30.2166666,-88.5
72206763823,30.21861,-81.87639
A0000253928,30.21889,-96.37417
99735299999,30.22,-85.88
72206593837,30.23333,-81.66667
72032393947,30.24333,-98.90972
72038163885,30.29056,-87.67167
99843999999,30.308,-88.14
99821999999,30.3166666,-89.3166666
72254413958,30.3208,-97.7604
99848599999,30.329,-87.829
74782053860,30.33708,-81.51277
72233053865,30.34355,-89.82237
72073573805,30.34869,-85.78835
99820199999,30.35,-88.5666666
99817199999,30.35,-88.4166666
72222503855,30.35,-87.31667
A0002363890,30.35016,-81.876247
72244453902,30.36109,-95.41757
72213863852,30.36778,-89.45472
72264093035,30.37139,-104.01667
72015103049,30.38333,-103.68333
72206953853,30.39333,-86.46738
72214093805,30.39354,-84.35136
72064800230,30.395,-97.567
99735899999,30.398,-81.428
99404799999,30.4,-87.22
72206603853,30.4,-81.41667
74757093874,30.4121,-89.08093
74768613820,30.41667,-88.91667
74777003852,30.41667,-86.68333
99801699999,30.421,-87.828
99999900423,30.44105,-93.47361
72059200186,30.46,-87.877
74768853858,30.46304,-88.53156
72222313899,30.47612,-87.18575
72221013858,30.48333,-86.51667
72222099999,30.4833333,-87.1833333
72234999999,30.487483,-89.651194
72206013889,30.49529,-81.69374
72054200166,30.5,-97.967
74740013973,30.51048,-99.76649
A0002453848,30.51195,-86.95406
72376123901,30.51556,-96.70417
72231203908,30.52083,-90.4175
72063900225,30.533,-98.367
72232013970,30.53782,-91.14681
99999963869,30.5485,-87.8757
72046800466,30.55838,-92.09938
74733503059,30.58583,-100.64861
74746003904,30.5912,-96.36309
72223513838,30.61465,-88.06301
72094600326,30.617,-81.467
99999923907,30.6222,-98.0846
99819299999,30.649,-88.058
72224603844,30.65,-86.53333
99734799999,30.67,-81.47
72254753942,30.67917,-97.67944
72223013894,30.68819,-88.24598
72038353847,30.69729,-87.02073
99819699999,30.705,-88.04
72222693841,30.71667,-87.01667
72096700457,30.7183,-91.4786
72065900239,30.735,-101.203
72254203999,30.74067,-98.23539
72244753903,30.74432,-95.58657
72034653991,30.75028,-92.68833
72216693845,30.77629,-83.27393
72221513884,30.77715,-86.51938
72011053983,30.78361,-98.66194
99999963856,30.8078,-81.4596
72046700148,30.817,-89.867
72233403976,30.83333,-93.33333
74776003818,30.83696,-85.18352
99999963871,30.84315,-85.60431
72030353973,30.87194,-96.62222
72103400351,30.879,-96.971
72029653945,30.88556,-94.03472
72073800267,30.902,-83.881
72261823091,30.91193,-102.91714
74781013857,30.96667,-83.2
72026853882,30.98333,-84.63333
72282153988,31.0217,-92.9107
72036163870,31.04474,-86.31193
72239003931,31.05,-93.18333
72039200128,31.056,-82.767
72257603902,31.06667,-97.83333
72257503972,31.08333,-97.68333
72214753817,31.08333,-83.8
72064700229,31.106,-98.196
72257003933,31.13333,-97.71667
99999963899,31.1449,-87.0518
72257793984,31.15,-97.41667
72213713878,31.1527,-81.39053
72362893942,31.17833,-99.32444
72235893919,31.18228,-90.47207
99999963829,31.1923,-84.4465
72244693987,31.23593,-94.75468
72213013861,31.25,-82.4
72213653883,31.25889,-81.46611
72226903850,31.26667,-85.71667
74759013833,31.26951,-89.25609
72227553843,31.30614,-86.39018
72446203073,31.30694,-95.40389
99999963828,31.3127,-84.4706
72226813839,31.31767,-85.44324
74754093915,31.33464,-92.55849
72223863873,31.35,-85.66667
72263023034,31.35172,-100.4948
72223953861,31.35583,-85.75111
72282003949,31.35694,-93.17603
72221999999,31.362669,-85.849383
72216903058,31.3825,-103.51083
72248713935,31.3963,-92.28278
72025763835,31.39694,-84.89528
99801099999,31.4166666,-81.2833333
72232300362,31.417,-97.8
72227653820,31.41912,-87.04844
72272803196,31.42076,-110.84655
72071200250,31.429,-83.489
72272093026,31.4583,-109.6061
72234853808,31.46667,-89.33333
72206263842,31.47667,-82.86056
72256353952,31.48472,-97.31639
72216013869,31.53642,-84.1958
72316013870,31.54006,-82.50735
72067100248,31.554,-81.883
72249953948,31.57778,-94.70944
72273003124,31.58833,-110.34417
99999953132,31.5907,-110.5087
72281353146,31.60563,-110.42809
72093200317,31.606,-90.409
72235703961,31.61667,-91.28333
72256013959,31.61796,-97.2283
99999903047,31.6219,-102.8071
76075399999,31.636133,-106.428667
72256199999,31.637831,-97.074139
72077900461,31.64117,-96.51445
72223100357,31.666,-98.149
72077699999,31.672552,-89.172226
72103300350,31.684,-83.27
72231953943,31.73583,-93.09917
99999953968,31.7796,-95.7232
72031493983,31.77972,-95.70639
72265623040,31.78011,-103.2017
99999923801,31.7901,-86.0004
72266693943,31.8,-98.95
72270023044,31.81234,-106.37737
72262023055,31.832739,-104.809025
72077100276,31.841,-99.404
72036263874,31.84675,-86.6141
72270499999,31.849528,-106.380039
72226703878,31.85742,-86.01025
72029853971,31.86944,-95.2175
72364099999,31.8804444,-106.70325
99999923802,31.8814,-87.7367
72209003875,31.88333,-81.56667
72103500352,31.885,-82.647
99999973802,31.9155,-86.3115
74735553997,31.91667,-98.60028
72264803031,31.925,-102.38743
72265023023,31.94754,-102.20859
72036363872,31.95163,-85.13122
74780413824,32.01667,-81.13333
99730199999,32.03,-80.9
72246953912,32.03155,-96.39936
72232403071,32.03639,-102.10111
99999903072,32.0408,-100.2495
72029553972,32.08361,-97.09722
