STATION,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,COUNTRY,US_State
1001099999,70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY, NO",FM-12,99999,NO,-
1001499999,59.791925,5.34085,48.76,"SORSTOKKEN, NO",FM-15,99999,NO,-
1002099999,80.05,16.25,8,"VERLEGENHUKEN, NO",FM-12,99999,NO,-
1003099999,77,15.5,12,"HORNSUND, NO",FM-12,99999,NO,-
1006099999,78.25,22.8166666,14,"EDGEOYA, NO",FM-12,99999,NO,-
1007099999,78.9166666,11.9333333,7.7,"NY ALESUND, SV",FM-12,99999,SV,-
1008099999,78.246111,15.465556,26.82,"LONGYEAR, SV",FM-12,99999,SV,-
1009099999,80.65,25,5,"KARL XII OYA, SV",FM-12,99999,SV,-
1010099999,69.2925,16.144167,13.1,"ANDOYA, NO",FM-12,99999,NO,-
1011099999,80.0666666,31.5,10,"KVITOYA, SV",FM-12,99999,SV,-
1015099999,69.6,17.8333333,14,"HEKKINGEN FYR, NO",FM-12,99999,NO,-
1016099999,78.9333333,28.9,20,"KONGSOYA, NO",FM-12,99999,NO,-
1017099999,77.6833333,14.7833333,6,"AKSELOYA, SV",FM-12,99999,SV,-
1020099999,76.4833333,16.55,10,"SORKAPPOYA, SV",FM-12,99999,SV,-
1023099999,69.055758,18.540356,76.8,"BARDUFOSS, NO",FM-12,99999,NO,-
1023199999,64.35,7.8,0,"DRAUGEN, NO",FM-15,99999,NO,-
1025099999,69.683333,18.918919,9.44,"TROMSO, NO",FM-12,99999,NO,-
1026099999,69.65,18.9333333,114.5,"TROMSO, NO",FM-12,99999,NO,-
1027099999,69.65,18.9,20,"TROMSO HOLT, NO",FM-12,99999,NO,-
1028099999,74.5166667,19.0166667,18,"BJORNOYA ISLAND, NO",FM-12,99999,NO,-
1030099999,69.2833333,18.1333333,982,"KISTEFJELL, NO",FM-12,99999,NO,-
1033099999,70.25,19.5,24,"TORSVAG FYR, NO",FM-12,99999,NO,-
1035099999,69.5666666,20.1,710,"LYNGEN GJERDVASSBU, NO",FM-12,99999,NO,-
1037099999,69.3833333,20.2833333,20,"SKIBOTN 2, NO",FM-12,99999,NO,-
1042099999,70.6,22.45,438,"HASVIK SLUSKFJELLET, NO",FM-12,99999,NO,-
