var_name,Max_RH_pct,Rel_Hum_pct,Mean_RH_pct,ref_date
RHD000190H04,93,50,76,2025-04-09
RHD000191H04,90,61,74,
RHD000192H04,87,52,68,
RHD000193H04,90,47,72,
RHD000194H04,91,84,88,
RHD000195H04,90,61,77,
RHD000196H04,84,51,69,
RHD000197H04,86,53,71,
RHD000198H04,90,43,67,
RHD000199H04,81,50,64,
RHD000200H04,81,58,71,
RHD000201H04,87,33,63,
RHD000202H04,87,54,74,
RHD000203H04,93,26,69,
RHD000204H04,89,22,63,
RHD000205H04,90,42,65,
RHD000206H04,90,40,70,
RHD000207H04,90,44,67,
RHD000208H04,89,37,64,
RHD000209H04,86,32,59,
RHD000210H04,87,29,57,
RHD000211H04,77,40,59,
RHD000212H04,90,32,61,
RHD000213H04,87,59,77,
RHD000214H04,90,52,75,
RHD000215H04,89,36,62,
RHD000216H04,86,39,63,
RHD000217H04,80,30,55,
RHD000218H04,79,33,53,
RHD000219H04,85,61,75,
RHD000220H04,81,58,70,
RHD000221H04,87,42,62,
RHD000222H04,81,57,65,
RHD000223H04,82,49,64,
RHD000224H04,93,42,71,
RHD000225H04,90,53,77,
RHD000226H04,90,49,72,
RHD000227H04,90,35,64,
RHD000228H04,87,35,61,
RHD000229H04,83,42,62,
RHD000230H04,86,39,62,
RHD000231H04,79,47,62,
RHD000232H04,90,68,84,
RHD000233H04,93,78,87,
RHD000234H04,84,60,74,
RHD000235H04,90,51,74,
RHD000236H04,87,41,66,
RHD000237H04,86,31,63,
RHD000238H04,84,40,63,
RHD000239H04,87,41,67,
RHD000240H04,81,37,57,
RHD000241H04,91,45,64,
RHD000242H04,93,70,84,
RHD000243H04,90,60,82,
RHD000244H04,90,66,81,
RHD000245H04,90,74,83,
RHD000246H04,94,44,65,
RHD000247H04,94,67,84,
RHD000248H04,91,51,77,
RHD000249H04,91,50,74,
RHD000250H04,91,41,68,
RHD000251H04,94,59,81,
RHD000252H04,91,55,76,
RHD000253H04,91,79,86,
RHD000254H04,84,37,63,
RHD000255H04,84,35,59,
RHD000256H04,81,38,55,
RHD000257H04,91,44,64,
RHD000258H04,87,76,81,
RHD000259H04,90,67,80,
RHD000260H04,91,57,73,
RHD000261H04,87,38,62,
RHD000262H04,87,45,71,
RHD000263H04,84,39,57,
RHD000264H04,91,39,62,
RHD000265H04,90,49,70,
RHD000266H04,88,46,64,
RHD000267H04,82,46,66,
RHD000268H04,81,34,57,
RHD000269H04,88,59,76,
RHD000270H04,84,57,70,
RHD000271H04,87,41,64,
RHD000272H04,91,59,74,
RHD000273H04,91,51,75,
RHD000274H04,84,40,60,
RHD000275H04,90,44,65,
RHD000276H04,94,68,81,
RHD000277H04,91,63,81,
RHD000278H04,88,60,74,
RHD000279H04,84,30,53,
RHD000280H04,78,30,50,
RHD000281H04,84,38,57,
RHD000282H04,88,57,77,
RHD000283H04,85,63,72,
RHD000284H04,72,29,46,
RHD000285H04,87,37,58,
RHD000286H04,90,41,59,
RHD000287H04,78,30,49,
RHD000288H04,88,44,62,
RHD000289H04,91,61,79,
RHD000290H04,91,63,82,
RHD000291H04,91,46,76,
RHD000292H04,77,43,58,
RHD000293H04,71,44,59,
RHD000294H04,81,47,62,
RHD000295H04,87,43,62,
RHD000296H04,77,32,51,
RHD000297H04,87,27,52,
RHD000298H04,84,60,74,
RHD000299H04,83,35,55,
RHD000300H04,87,41,59,
RHD000301H04,83,48,62,
RHD000302H04,78,43,57,
RHD000303H04,87,50,70,
RHD000304H04,78,39,57,
RHD000305H04,90,28,66,
RHD000306H04,90,62,78,
RHD000307H04,81,48,68,
RHD000308H04,81,46,60,
RHD000309H04,75,23,48,
RHD000310H04,83,25,50,
RHD000311H04,80,26,47,
RHD000312H04,75,24,42,
RHD000313H04,84,51,70,
RHD000314H04,81,38,56,
RHD000315H04,90,38,65,
RHD000316H04,90,74,84,
RHD000317H04,82,43,61,
RHD000318H04,67,38,49,
RHD000319H04,90,22,46,
RHD000320H04,87,48,69,
RHD000321H04,87,38,61,
RHD000322H04,90,45,68,
RHD000323H04,89,45,68,
RHD000324H04,87,55,70,
RHD000325H04,75,56,67,
RHD000326H04,90,41,59,
RHD000327H04,90,68,82,
RHD000328H04,87,70,81,
RHD000329H04,83,41,63,
RHD000330H04,86,35,60,
RHD000331H04,77,45,63,
RHD000332H04,86,35,57,
RHD000333H04,86,37,58,
RHD000334H04,86,38,55,
RHD000335H04,90,67,78,
RHD000336H04,90,17,46,
RHD000337H04,89,55,72,
RHD000338H04,89,69,81,
RHD000339H04,86,37,61,
RHD000340H04,83,40,60,
RHD000341H04,86,22,62,
RHD000342H04,86,50,72,
RHD000343H04,86,41,58,
RHD000344H04,87,50,66,
RHD000345H04,83,53,71,
RHD000346H04,79,26,48,
RHD000347H04,82,17,41,
RHD000348H04,70,18,38,
RHD000349H04,66,35,53,
RHD000350H04,79,22,45,
RHD000351H04,73,16,38,
RHD000352H04,62,33,45,
RHD000353H04,90,38,65,
RHD000354H04,79,29,58,
RHD000355H04,86,68,78,
RHD000356H04,86,35,56,
RHD000357H04,58,23,36,
RHD000358H04,93,31,54,
RHD000359H04,86,35,61,
RHD000360H04,73,42,57,
RHD000361H04,90,56,78,
RHD000362H04,93,80,87,
RHD000363H04,77,36,55,
RHD000364H04,73,20,38,
