var_name,precip_depth_sum_mm,ref_date
PRD000049H23,,2025-02-18
PRD000049H22,,
PRD000049H21,,
PRD000049H20,,
PRD000049H19,,
PRD000049H18,,
PRD000049H17,,
PRD000049H16,,
PRD000049H15,,
PRD000049H14,,
PRD000049H13,,
PRD000049H12,,
PRD000049H11,,
PRD000049H10,,
PRD000049H09,,
PRD000049H08,,
PRD000049H07,,
PRD000049H06,,
PRD000049H05,0,
PRD000049H04,0,
PRD000049H03,0,
PRD000049H02,0,
PRD000049H01,0,
PRD000049H00,0,
PRD000050H23,,
PRD000050H22,0,
PRD000050H21,0,
PRD000050H20,0,
PRD000050H19,0,
PRD000050H18,0,
PRD000050H17,0,
PRD000050H16,0,
PRD000050H15,0,
PRD000050H14,0,
PRD000050H13,0,
PRD000050H12,0,
PRD000050H11,0,
PRD000050H10,0,
PRD000050H09,0,
PRD000050H08,0,
PRD000050H07,0,
PRD000050H06,0,
PRD000050H05,0,
PRD000050H04,0,
PRD000050H03,0,
PRD000050H02,0,
PRD000050H01,0,
PRD000050H00,0,
PRD000051H23,0,
PRD000051H22,0,
PRD000051H21,0,
PRD000051H20,0,
PRD000051H19,0,
PRD000051H18,0,
PRD000051H17,0,
PRD000051H16,0,
PRD000051H15,0,
PRD000051H14,0,
PRD000051H13,0,
PRD000051H12,0,
PRD000051H11,0,
PRD000051H10,0,
PRD000051H09,0,
PRD000051H08,0,
PRD000051H07,0,
PRD000051H06,0,
PRD000051H05,0,
PRD000051H04,0,
PRD000051H03,0,
PRD000051H02,0,
PRD000051H01,0,
PRD000051H00,0,
PRD000052H23,0,
PRD000052H22,0,
PRD000052H21,0,
PRD000052H20,0,
PRD000052H19,0,
PRD000052H18,0,
PRD000052H17,0,
PRD000052H16,0,
PRD000052H15,0,
PRD000052H14,0,
PRD000052H13,0,
PRD000052H12,0,
PRD000052H11,0,
PRD000052H10,0,
PRD000052H09,0,
PRD000052H08,0,
PRD000052H07,0,
PRD000052H06,0,
PRD000052H05,0,
PRD000052H04,0,
PRD000052H03,0,
PRD000052H02,0,
PRD000052H01,0,
PRD000052H00,0,
PRD000053H23,0,
PRD000053H22,0,
PRD000053H21,0,
PRD000053H20,0,
PRD000053H19,0,
PRD000053H18,0,
PRD000053H17,0,
PRD000053H16,0,
PRD000053H15,0,
PRD000053H14,0,
PRD000053H13,0,
PRD000053H12,0,
PRD000053H11,0,
PRD000053H10,0,
PRD000053H09,0,
PRD000053H08,0,
PRD000053H07,0,
PRD000053H06,0,
PRD000053H05,0,
PRD000053H04,0,
PRD000053H03,0,
PRD000053H02,0,
PRD000053H01,0,
PRD000053H00,0,
PRD000054H23,0,
PRD000054H22,0,
PRD000054H21,0,
PRD000054H20,0,
PRD000054H19,0,
PRD000054H18,0,
PRD000054H17,0,
PRD000054H16,0,
PRD000054H15,0,
PRD000054H14,0,
PRD000054H13,0,
PRD000054H12,0,
PRD000054H11,0,
PRD000054H10,0,
PRD000054H09,0,
PRD000054H08,0,
PRD000054H07,0,
PRD000054H06,0,
PRD000054H05,0,
PRD000054H04,0,
PRD000054H03,0,
PRD000054H02,0,
PRD000054H01,0,
PRD000054H00,0,
PRD000055H23,0,
PRD000055H22,0,
PRD000055H21,0,
PRD000055H20,0,
PRD000055H19,0,
PRD000055H18,0,
PRD000055H17,0,
PRD000055H16,0,
PRD000055H15,0,
PRD000055H14,0,
PRD000055H13,0,
PRD000055H12,0,
PRD000055H11,0,
PRD000055H10,0,
PRD000055H09,0,
PRD000055H08,0,
PRD000055H07,0,
PRD000055H06,0,
PRD000055H05,0,
PRD000055H04,0,
PRD000055H03,0,
PRD000055H02,0,
PRD000055H01,0,
PRD000055H00,0,
PRD000056H23,0,
PRD000056H22,0,
PRD000056H21,0,
PRD000056H20,0,
PRD000056H19,0,
PRD000056H18,0,
PRD000056H17,0,
PRD000056H16,0,
PRD000056H15,0,
PRD000056H14,0,
PRD000056H13,0,
PRD000056H12,0,
PRD000056H11,0,
PRD000056H10,0,
PRD000056H09,0,
PRD000056H08,0,
PRD000056H07,0,
PRD000056H06,0,
PRD000056H05,0,
PRD000056H04,0,
PRD000056H03,0,
PRD000056H02,0,
PRD000056H01,0,
PRD000056H00,0,
PRD000057H23,0,
PRD000057H22,0,
PRD000057H21,0,
PRD000057H20,0,
PRD000057H19,0,
PRD000057H18,0,
